name,price,location,condition,mileage
Toyota Highlander 2007 Blue,"₦ 5,250,000","Lagos State, Abule Egba",Local Used,266381 km
Ford Explorer 2016 Black,"₦ 20,370,000","Lagos State, Ojodu",Foreign Used,202974 km
Lexus RX 350 2018 Blue,"₦ 48,300,000","Edo State, Benin City",Foreign Used,66545 km
Toyota Corolla 2013 White,"₦ 12,600,000","Oyo State, Ibadan",Foreign Used,148851 km
Lexus GX 2009 Black,"₦ 7,875,000","Lagos State, Ogba",Local Used,150845 km
Hyundai Sonata 2018 Blue,"₦ 15,750,000","Lagos State, Isolo",Local Used,97666 km
Toyota Sienna 2013 White,"₦ 16,065,000","Lagos State, Ojodu",Foreign Used,137611 km
Toyota RAV4 2010 Black,"₦ 14,560,000","Lagos State, Isolo",Foreign Used,121631 km
Mercedes-Benz GL-Class 2008 Black,"₦ 7,140,000","Lagos State, Lekki",Local Used,306260 km
Mitsubishi L200 2020 White,"₦ 19,950,000","Lagos State, Abule Egba",Local Used,66575 km
Toyota Sienna 2004 White,"₦ 12,375,000","Enugu State, Enugu",Foreign Used,380466 km
Toyota Corolla 2009 Gold,"₦ 6,825,000","Abuja (FCT), Gwarinpa",Local Used,221103 km
Honda Accord 2014 Black,"₦ 11,440,000","Lagos State, Yaba",Local Used,126479 km
Nissan Xterra 2002 Black,"₦ 5,250,000","Rivers State, Port-Harcourt",Local Used,183724 km
Lexus RX 350 2008 White,"₦ 8,400,000","Ondo State, Akure",Local Used,200440 km
Toyota Corolla 2012 Black,"₦ 6,357,750","Lagos State, Yaba",Local Used,105625 km
Toyota Sienna 2004 White,"₦ 12,375,000","Enugu State, Enugu",Foreign Used,380466 km
Honda CR-V 2011 Gray,"₦ 8,400,000","Abuja (FCT), Garki 2",Local Used,282732 km
Dodge Caliber 2010 Blue,"₦ 7,140,000","Lagos State, Abule Egba",Foreign Used,176841 km
Toyota Camry 2009 Beige,"₦ 9,450,000","Lagos State, Isolo",Foreign Used,247816 km
Lexus LX LX 600 2025 Black,"₦ 357,000,000","Lagos State, Magodo",Foreign Used,14020 km
BMW 530i 2007 Black,"₦ 11,550,000","Abuja (FCT), Garki 2",Local Used,999999 km
Honda Pilot 2011 Black,"₦ 12,089,700","Abuja (FCT), Kubwa",Foreign Used,101239 km
Toyota Camry 2011 Black,"₦ 6,552,000","Lagos State, Abule Egba",Local Used,282326 km
Lexus NX 2015 Gray,"₦ 22,050,000","Lagos State, Amuwo-Odofin",Local Used,57392 km
Lexus ES 350 2007 Silver,"₦ 9,360,000","Abia State, Aba North",Local Used,178498 km
Toyota Corolla CE 2006 Silver,"₦ 4,536,000","Lagos State, Lekki",Local Used,2999999 km
Lexus RX 350 2021 Black,"₦ 57,750,000","Oyo State, Ibadan",Foreign Used,68905 km
Toyota Highlander 2003 Silver,"₦ 5,824,000","Rivers State, Port-Harcourt",Local Used,204849 km
Toyota Corolla 2007 Blue,"₦ 4,867,800","Abuja (FCT), Kubwa",Local Used,312695 km
Honda Accord 2015 Black,"₦ 9,240,000","Lagos State, Lekki",Local Used,112898 km
Toyota Corolla 2009 White,"₦ 11,232,000","Abuja (FCT), Gwarinpa",Foreign Used,163458 km
Acura MDX 2009 Black,"₦ 7,280,000","Lagos State, Ojodu",Local Used,12459 km
Toyota Ipsum 1998 White,"₦ 4,200,000","Oyo State, Ibadan",Local Used,310820 km
Toyota Corolla 2011 Black,"₦ 6,888,000","Lagos State, Ogudu",Local Used,256328 km
Toyota Corolla 2010 Silver,"₦ 11,440,000","Lagos State, Ogba",Foreign Used,237290 km
Toyota Corolla 1.8 VVTL-i TS Compressor 2007 Gold,"₦ 5,460,000","Lagos State, Magodo",Local Used,279590 km
Mercedes-Benz GLE-Class GLE 350 2016 Black,"₦ 21,000,000","Lagos State, Lekki",Local Used,83318 km
Toyota Avensis 2004 Silver,"₦ 4,935,000","Oyo State, Ibadan",Local Used,248810 km
Lexus GX 2016 Gray,"₦ 48,300,000","Lagos State, Surulere",Foreign Used,119898 km
Porsche Macan 2015 Black,"₦ 43,902,569","Lagos State, Lekki",Foreign Used,120597 km
Porsche Macan 2015 Black,"₦ 43,902,569","Lagos State, Lekki",Foreign Used,120597 km
Lexus ES 2009 Black,"₦ 7,875,000","Abia State, Umuahia",Local Used,109855 km
Lexus RX 350 2010 Gold,"₦ 22,880,000","Abuja (FCT), Lugbe District",Foreign Used,172534 km
Hyundai Sonata 2016 Black,"₦ 13,650,000","Rivers State, Port-Harcourt",Foreign Used,181482 km
Hyundai Veracruz 2010 Silver,"₦ 9,450,000","Lagos State, Ikorodu",Local Used,185231 km
Ford Explorer 2011 Black,"₦ 8,925,000","Lagos State, Ikeja",Local Used,90277 km
Kia Sedona 2012 Silver,"₦ 8,925,000","Lagos State, Ikeja",Local Used,158124 km
Hyundai Santa Fe 2007 Gray,"₦ 6,240,000","Oyo State, Ibadan",Local Used,162047 km
Mercedes-Benz C300 2020 Blue,"₦ 46,800,000","Lagos State, Surulere",Foreign Used,43758 km
Lexus RX 2003 Black,"₦ 3,675,000","Lagos State, Isolo",Local Used,170954 km
Toyota Matrix 2003 Red,"₦ 4,700,000","Oyo State, Ibadan",Local Used,204054 km
Porsche Cayenne 2013 Black,"₦ 30,450,000","Lagos State, Surulere",Local Used,42443 km
Toyota Highlander 2008 Silver,"₦ 5,250,000","Lagos State, Mushin",Local Used,336139 km
Toyota Sienna 2010 Green,"₦ 12,600,000","Oyo State, Ibadan",Foreign Used,159976 km
Toyota Highlander 2003 Blue,"₦ 4,200,000","Oyo State, Ibadan",Local Used,169031 km
Hyundai Sonata 2014 Blue,"₦ 10,912,650","Abuja (FCT), Kubwa",Foreign Used,52348 km
Lexus RX 350 2008 Burgandy,"₦ 15,080,000","Edo State, Benin City",Foreign Used,189760 km
Lexus RX 350 2015 Black,"₦ 31,200,000","Lagos State, Ilupeju",Foreign Used,138948 km
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2011 Black,"₦ 7,875,000","Delta State, Warri",Local Used,266778 km
Toyota Highlander 2008 Silver,"₦ 5,250,000","Lagos State, Mushin",Local Used,336139 km
Volkswagen Tiguan 2011 Black,"₦ 5,565,000","Lagos State, Ojodu",Local Used,204908 km
Toyota Venza XLE 4dr Wagon AWD (3.5L 6cyl 6A) 2014 Gray,"₦ 14,175,000","Lagos State, Magodo",Local Used,388250 km
Rover Land 2014 Black,"₦ 35,700,000","Rivers State, Port-Harcourt",Foreign Used,255424 km
Lexus ES 2014 Silver,"₦ 23,920,000","Rivers State, Port-Harcourt",Foreign Used,311044 km
Toyota Venza 2009 Black,"₦ 12,550,000","Abuja (FCT), Gwarinpa",Local Used,142771 km
BMW 4 Series 2016 Gray,"₦ 26,250,000","Lagos State, Yaba",Local Used,6443 km
Toyota Camry 2016 Blue,"₦ 12,600,000","Lagos State, Ikeja",Local Used,114789 km
Toyota Camry 2024 Black,"₦ 47,250,000","Lagos State, Ikoyi",Foreign Used,24965 km
BMW X3 2007 Silver,"₦ 5,250,000","Oyo State, Ibadan",Local Used,316858 km
Toyota Sienna LE AWD 2005 Silver,"₦ 9,975,000","Lagos State, Ikorodu",Foreign Used,472582 km
Toyota Highlander 2004 Black,"₦ 4,935,000","Kaduna State, Kachia",Local Used,169515 km
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2005 Silver,"₦ 4,160,000","Abuja (FCT), Lugbe District",Local Used,7893 km
Toyota Corolla 2006 Gray,"₦ 5,565,000","Delta State, Oshimili South",Local Used,272565 km
Mercedes-Benz M Class 2012 Gray,"₦ 18,900,000","Edo State, Benin City",Local Used,198775 km
Lexus RX 350 2014 Gray,"₦ 29,120,000","Abuja (FCT), Lugbe District",Foreign Used,245514 km
Toyota Venza 2010 Black,"₦ 12,688,000","Abuja (FCT), Wuse",Local Used,117579 km
Honda Accord 2014 Blue,"₦ 11,550,000","Abuja (FCT), Jabi",Local Used,204329 km
Toyota Sienna 2006 Gold,"₦ 6,300,000","Oyo State, Ibadan",Local Used,352636 km
Toyota Camry 2012 Green,"₦ 11,440,000","Lagos State, Alimosho",Local Used,160130 km
Toyota Camry 2009 Beige,"₦ 6,720,000","Kaduna State, Kachia",Local Used,150251 km
Toyota Highlander 2010 Black,"₦ 13,125,000","Lagos State, Mushin",Foreign Used,98654 km
Toyota Sienna 2004 Gold,"₦ 6,240,000","Delta State, Warri",Local Used,188488 km
Honda CR-V 2018 Black,"₦ 26,000,000","Lagos State, Ikeja",Local Used,45167 km
Lexus RX 300 2001 White,"₦ 5,250,000","Lagos State, Ikeja",Local Used,287579 km
Kia Sorento 2003 Black,"₦ 4,200,000","Abuja (FCT), Gwarinpa",Local Used,228327 km
Lexus IS 2008 Black,"₦ 7,140,000","Lagos State, Lekki",Local Used,225074 km
Toyota Sienna 2005 Blue,"₦ 9,450,000","Lagos State, Lekki",Foreign Used,412148 km
Mercedes-Benz C300 2012 Black,"₦ 15,600,000","Abuja (FCT), Gwarinpa",Foreign Used,61587 km
Toyota Corolla 2011 Black,"₦ 6,027,000","Lagos State, Lekki",Local Used,134525 km
Lexus ES 2005 Silver,"₦ 8,400,000","Lagos State, Ojodu",Foreign Used,298669 km
Hyundai Elantra 2015 Black,"₦ 12,316,500","Lagos State, Ogba",Foreign Used,90970 km
Toyota Sequoia 2015 Black,"₦ 29,190,000","Lagos State, Amuwo-Odofin",Foreign Used,136243 km
Acura RDX 2014 Gray,"₦ 14,700,000","Lagos State, Ilupeju",Foreign Used,194652 km
Mitsubishi L200 Single Cab 2.5 TD 4WD 2010 White,"₦ 12,600,000","Rivers State, Port-Harcourt",Local Used,33865 km
Toyota Corolla 2014 Gray,"₦ 13,650,000","Ogun State, Abeokuta North",Local Used,231550 km
Toyota Highlander 2017 White,"₦ 36,400,000","Oyo State, Ibadan",Foreign Used,226815 km
Mercedes-Benz GLS-Class 2020 Brown,"₦ 105,000,000","Abuja (FCT), Garki 2",Local Used,294671 km
Hyundai Sonata 2019 White,"₦ 19,950,000","Lagos State, Ikeja",Foreign Used,152777 km
Hyundai Santa Fe 2016 Silver,"₦ 19,425,000","Lagos State, Alimosho",Foreign Used,89859 km
Nissan Versa 2013 Silver,"₦ 10,206,000","Lagos State, Isolo",Foreign Used,113903 km
Hyundai Sonata 2013 Gray,"₦ 10,710,000","Lagos State, Ojodu",Foreign Used,174911 km
Toyota Sienna CE FWD 2007 Silver,"₦ 9,505,125","Imo State, Owerri",Foreign Used,445511 km
Toyota Land Cruiser Prado 2014 Black,"₦ 36,750,000","Lagos State, Ajah",Local Used,248155 km
Mercedes-Benz C300 2012 Gray,"₦ 15,080,000","Lagos State, Ikeja",Foreign Used,158249 km
Lexus RX 350 2010 Blue,"₦ 15,225,000","Delta State, Oshimili South",Local Used,333769 km
Toyota Corolla 2012 Black,"₦ 8,840,000","Delta State, Oshimili South",Local Used,161596 km
BMW X3 2006 Silver,"₦ 5,250,000","Abuja (FCT), Lugbe District",Local Used,377985 km
Lexus RX 350 2011 Red,"₦ 15,750,000","Ogun State, Abeokuta North",Local Used,175030 km
Honda CR-V 2014 Red,"₦ 18,200,000","Rivers State, Port-Harcourt",Foreign Used,233112 km
Lexus RX 350 2010 Blue,"₦ 17,680,000","Abia State, Aba North",Local Used,333524 km
Toyota Highlander Base FWD 2004 Black,"₦ 5,720,000","Akwa Ibom State, Uyo",Local Used,5492 km
Toyota Highlander 2019 White,"₦ 38,325,000","Abia State, Umuahia",Foreign Used,108625 km
Ford Edge 2010 Red,"₦ 4,439,400","Abuja (FCT), Lugbe District",Local Used,217442 km
Hyundai Sonata 2016 Silver,"₦ 13,965,000","Lagos State, Yaba",Foreign Used,100924 km
Mercedes-Benz GLK-Class 2010 Gold,"₦ 16,800,000","Edo State, Benin City",Foreign Used,153525 km
Lexus GX 460 Luxury 2015 Black,"₦ 36,750,000","Lagos State, Lekki",Local Used,60627 km
Mercedes-Benz M Class 2009 Black,"₦ 8,528,000","Abuja (FCT), Garki 2",Local Used,261768 km
Nissan X-Trail 2005 Black,"₦ 4,200,000","Lagos State, Amuwo-Odofin",Local Used,253434 km
Toyota Corolla 2009 Black,"₦ 6,825,000","Lagos State, Alimosho",Local Used,131531 km
Toyota Corolla 2011 Black,"₦ 6,720,000","Lagos State, Lekki",Local Used,79055 km
Mercedes-Benz C300 2010 Gray,"₦ 6,825,000","Lagos State, Abule Egba",Local Used,269641 km
Toyota Sienna 2005 Blue,"₦ 9,450,000","Lagos State, Lekki",Foreign Used,412148 km
Nissan Rogue 2012 Silver,"₦ 12,480,000","Lagos State, Ikeja",Foreign Used,217909 km
Toyota Matrix 2004 Red,"₦ 4,680,000","Ogun State, Abeokuta North",Local Used,285513 km
Toyota Venza 2013 Gray,"₦ 12,316,500","Lagos State, Isolo",Local Used,134731 km
Mercedes-Benz B-Class 2011 Red,"₦ 15,750,000","Lagos State, Kosofe",Foreign Used,159972 km
Toyota Camry 2022 Purple,"₦ 42,640,000","Abuja (FCT), Wuse",Foreign Used,143541 km
Nissan Sentra S 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,"₦ 9,975,000","Lagos State, Magodo",Foreign Used,211818 km
Kia Sportage 2023 Gray,"₦ 78,435,000","Lagos State, Amuwo-Odofin",Foreign Used,16211 km
Toyota Highlander 2013 Black,"₦ 18,900,000","Lagos State, Ikeja",Foreign Used,120848 km
Toyota Venza 2012 White,"₦ 13,050,000","Rivers State, Port-Harcourt",Local Used,236443 km
Ford Escape 2013 Black,"₦ 10,626,000","Lagos State, Lekki",Foreign Used,136042 km
Honda Accord 2016 Gold,"₦ 14,700,000","Abuja (FCT), Gwarinpa",Local Used,220935 km
Lexus RX 2004 Blue,"₦ 12,600,000","Rivers State, Port-Harcourt",Foreign Used,309886 km
Honda Crosstour 2013 Gray,"₦ 12,600,000","Ogun State, Abeokuta North",Foreign Used,252294 km
Lexus ES 2008 Gray,"₦ 7,140,000","Rivers State, Port-Harcourt",Local Used,141435 km
Toyota Corolla 2015 White,"₦ 11,960,000","Oyo State, Ibadan",Local Used,268165 km
Wuling Hongguang S 2017 White,"₦ 15,750,000","Kano State, Gwale",Foreign Used,54533 km
Toyota Sienna 2012 Gray,"₦ 13,125,000","Lagos State, Surulere",Foreign Used,152467 km
Mercedes-Benz GL-Class 2016 White,"₦ 16,800,000","Oyo State, Ibadan",Foreign Used,96380 km
Toyota Highlander 2016 Gray,"₦ 21,063,000","Lagos State, Ilupeju",Local Used,123665 km
Toyota Venza 2009 Silver,"₦ 18,720,000","Lagos State, Isolo",Foreign Used,205487 km
Lexus RX 2005 Silver,"₦ 7,140,000","Imo State, Owerri",Local Used,27564 km
Toyota Camry 2003 Silver,"₦ 3,885,000","Oyo State, Ibadan",Local Used,266765 km
Honda Pilot 2008 Gray,"₦ 5,250,000","Lagos State, Isolo",Local Used,150535 km
Toyota Camry 2011 Silver,"₦ 12,168,000","Oyo State, Ibadan",Foreign Used,272706 km
Toyota Corolla 2005 Silver,"₦ 9,568,000","Lagos State, Ojodu",Foreign Used,200893 km
Toyota Camry 2013 Red,"₦ 10,710,000","Lagos State, Alimosho",Local Used,278958 km
Toyota Corolla 2014 Black,"₦ 11,500,000","Oyo State, Ibadan",Local Used,164045 km
Toyota Corolla 2009 Black,"₦ 7,350,000","Abuja (FCT), Jabi",Local Used,306399 km
Toyota Camry 2012 Black,"₦ 10,608,000","Enugu State, Enugu",Local Used,267663 km
Toyota Matrix 2003 Black,"₦ 3,990,000","Lagos State, Ogudu",Local Used,269808 km
Toyota Camry 2010 Blue,"₦ 11,025,000","Lagos State, Ikorodu",Foreign Used,1523414 km
Honda Accord EX Automatic 2009 Black,"₦ 5,356,000","Lagos State, Magodo",Local Used,374215 km
Volkswagen Passat 2008 Silver,"₦ 5,250,000","Lagos State, Surulere",Local Used,96983 km
Hyundai Sonata 2016 Red,"₦ 13,440,000","Lagos State, Ikeja",Foreign Used,208414 km
Hyundai Sonata 2015 Blue,"₦ 13,650,000","Lagos State, Yaba",Foreign Used,173618 km
Toyota Highlander XLE AWD 2020 Black,"₦ 57,750,000","Oyo State, Ibadan",Foreign Used,95335 km
Toyota Sienna LE FWD 2006 Silver,"₦ 11,000,000","Imo State, Owerri",Foreign Used,332407 km
Toyota Sienna LE FWD 2006 Silver,"₦ 11,000,000","Imo State, Owerri",Foreign Used,332407 km
Mercedes-Benz GLE-Class 2016 Silver,"₦ 36,400,000","Enugu State, Enugu",Local Used,121564 km
Toyota Sienna 2011 Gray,"₦ 11,500,000","Ondo State, Akure",Local Used,395414 km
Hyundai Tucson 2019 Red,"₦ 27,040,000","Abuja (FCT), Lugbe District",Foreign Used,165247 km
Lexus ES 2006 Black,"₦ 5,292,000","Lagos State, Alimosho",Local Used,238050 km
Toyota Avalon 2013 Silver,"₦ 13,312,000","Lagos State, Kosofe",Local Used,175325 km
Toyota Highlander 2018 Gray,"₦ 41,600,000","Lagos State, Ogba",Foreign Used,172220 km
Toyota Camry 2007 Black,"₦ 5,985,000","Rivers State, Port-Harcourt",Local Used,15411 km
Lexus GX 470 2004 Beige,"₦ 7,980,000","Lagos State, Ogba",Local Used,302054 km
Toyota Camry 2010 Gray,"₦ 8,320,000","Lagos State, Alimosho",Local Used,136840 km
Toyota Corolla 2003 Blue,"₦ 4,410,000","Oyo State, Ibadan",Local Used,210672 km
Toyota Highlander 2003 Red,"₦ 6,032,000","Oyo State, Ibadan",Local Used,216112 km
Toyota Camry 2011 Blue,"₦ 6,405,000","Lagos State, Mushin",Local Used,148530 km
Toyota Corolla 2004 Silver,"₦ 8,400,000","Ogun State, Abeokuta North",Foreign Used,140401 km
Ford Explorer 2012 Red,"₦ 16,640,000","Abuja (FCT), Jabi",Foreign Used,152367 km
Toyota Camry 2011 Silver,"₦ 7,800,000","Oyo State, Ibadan",Local Used,229813 km
Toyota Camry 2004 White,"₦ 4,680,000","Lagos State, Alimosho",Local Used,388662 km
Toyota Camry 2007 Black,"₦ 5,985,000","Rivers State, Port-Harcourt",Local Used,15411 km
Toyota Highlander 2021 Black,"₦ 72,800,000","Abuja (FCT), Jabi",Foreign Used,150256 km
Mercedes-Benz GLB-Class 2020 Silver,"₦ 52,500,000","Lagos State, Ikeja",Foreign Used,195729 km
Toyota Sienna 2012 Gray,"₦ 16,800,000","Edo State, Benin City",Foreign Used,297906 km
Lexus GX 460 Luxury 2014 Gray,"₦ 35,360,000","Lagos State, Magodo",Local Used,120019 km
Toyota Camry 2011 Green,"₦ 11,960,000","Lagos State, Surulere",Foreign Used,136760 km
Nissan Pathfinder 2014 Blue,"₦ 13,650,000","Lagos State, Lekki",Foreign Used,145957 km
Mercedes-Benz GLE-Class GLE 350 2020 Silver,"₦ 78,015,000","Lagos State, Lekki",Foreign Used,134601 km
Toyota Corolla 2015 Red,"₦ 12,480,000","Lagos State, Lekki",Local Used,175435 km
Toyota Camry 2009 Gray,"₦ 9,371,250","Lagos State, Yaba",Foreign Used,422638 km
Kia Sportage 2023 Black,"₦ 57,750,000","Lagos State, Amuwo-Odofin",Foreign Used,7041 km
Toyota Highlander 2014 Gold,"₦ 27,825,000","Edo State, Benin City",Foreign Used,141331 km
Toyota Corolla 2007 Gray,"₦ 4,830,000","Abuja (FCT), Lugbe District",Local Used,90176 km
Toyota Corolla 2007 Gray,"₦ 4,830,000","Abuja (FCT), Lugbe District",Local Used,90176 km
Toyota Avalon 2014 Burgandy,"₦ 14,560,000","Oyo State, Ibadan",Local Used,178588 km
Toyota Corolla 2005 Blue,"₦ 5,250,000","Ogun State, Abeokuta North",Local Used,227039 km
Toyota Corolla 2015 Silver,"₦ 16,640,000","Oyo State, Ibadan",Foreign Used,300613 km
Kia Optima 2012 Red,"₦ 8,008,000","Lagos State, Isolo",Local Used,184815 km
Toyota Camry 2012 Blue,"₦ 11,440,000","Lagos State, Ikeja",Local Used,118261 km
Toyota Corolla 2015 Gray,"₦ 11,440,000","Abuja (FCT), Kubwa",Local Used,232741 km
Toyota Highlander 2018 Black,"₦ 36,750,000","Lagos State, Lekki",Foreign Used,154736 km
BMW 530i 2017 White,"₦ 33,600,000","Abuja (FCT), Garki 2",Foreign Used,529062 km
Toyota Sienna CE FWD (3.3L V6 5A) 2004 Gold,"₦ 7,800,000","Rivers State, Port-Harcourt",Local Used,38179 km
Toyota Venza V6 AWD 2012 Black,"₦ 14,560,000","Lagos State, Ajah",Local Used,153320 km
Hyundai Sonata 2018 White,"₦ 22,575,000","Rivers State, Port-Harcourt",Foreign Used,46831 km
Honda Ridgeline RT 4x4 Crew Cab 122 in. WB 2007 Gray,"₦ 13,520,000","Lagos State, Ikorodu",Local Used,185083 km
Toyota Corolla 2007 Silver,"₦ 9,880,000","Lagos State, Amuwo-Odofin",Foreign Used,164441 km
Toyota Camry 2017 Black,"₦ 12,600,000","Abia State, Aba North",Foreign Used,183881 km
Nissan X-Trail 2.5 4x4 2006 Black,"₦ 3,990,000","Lagos State, Ikorodu",Local Used,294707 km
Ford Explorer 2015 White,"₦ 22,880,000","Abuja (FCT), Jabi",Foreign Used,216595 km
Hyundai Sonata Base Sedan FWD (2.4L 4cyl 6A) 2017 Silver,"₦ 15,540,000","Rivers State, Port-Harcourt",Foreign Used,262406 km
Lexus RX 350 2014 Silver,"₦ 29,640,000","Lagos State, Amuwo-Odofin",Foreign Used,244254 km
Lexus RX 350 2010 Blue,"₦ 15,912,000","Lagos State, Magodo",Local Used,268719 km
Hyundai Sonata 2013 Gray,"₦ 10,710,000","Lagos State, Ojodu",Foreign Used,483632 km
Toyota Camry 2021 Blue,"₦ 34,650,000","Lagos State, Kosofe",Foreign Used,102326 km
Toyota Highlander 2016 Black,"₦ 33,280,000","Lagos State, Ilupeju",Foreign Used,270004 km
Lexus RX 350 2008 White,"₦ 12,285,000","Lagos State, Mushin",Foreign Used,310850 km
Toyota Sienna 2011 Burgandy,"₦ 14,904,750","Lagos State, Ogba",Foreign Used,157749 km
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray,"₦ 11,960,000","Abuja (FCT), Lugbe District",Local Used,59933 km
Toyota Matrix 2003 Blue,"₦ 4,410,000","Oyo State, Ibadan",Local Used,205188 km
Land Rover Range Rover 3.0L Supercharged 2014 Black,"₦ 17,850,000","Imo State, Owerri",Foreign Used,248263 km
Land Rover Lr3 2006 Beige,"₦ 7,875,000","Lagos State, Yaba",Local Used,332544 km
Hyundai Tucson 2016 Gray,"₦ 23,920,000","Abuja (FCT), Lugbe District",Foreign Used,160101 km
Land Rover Lr3 2006 Beige,"₦ 7,875,000","Lagos State, Yaba",Local Used,332544 km
Hyundai Sonata 2015 Black,"₦ 11,025,000","Lagos State, Alimosho",Foreign Used,148910 km
Toyota Sienna 2012 Burgandy,"₦ 9,975,000","Lagos State, Mushin",Local Used,155547 km
Toyota Camry 2017 Silver,"₦ 18,512,000","Lagos State, Kosofe",Foreign Used,88599 km
Lexus RX 330 2003 Blue,"₦ 5,775,000","Lagos State, Ikeja",Local Used,193542 km
Toyota Corolla 2013 Black,"₦ 13,312,000","Lagos State, Kosofe",Foreign Used,147319 km
Honda Accord 2009 Gray,"₦ 5,720,000","Abuja (FCT), Kubwa",Local Used,204785 km
Mercedes-Benz E350 2008 Silver,"₦ 5,250,000","Edo State, Benin City",Local Used,144000 km
Toyota Corolla 2003 Blue,"₦ 4,725,000","Lagos State, Ogudu",Local Used,257609 km
Hyundai Sonata 2015 Silver,"₦ 13,650,000","Lagos State, Yaba",Foreign Used,313592 km
Land Rover Range Rover Velar 2018 Black,"₦ 52,500,000","Lagos State, Lekki",Foreign Used,82206 km
Lexus RX 350 2007 Gold,"₦ 13,860,000","Lagos State, Isolo",Foreign Used,232077 km
Lexus RX 330 2004 Blue,"₦ 13,000,000","Oyo State, Ibadan",Foreign Used,229489 km
Hyundai Sonata 2018 Blue,"₦ 16,600,500","Abuja (FCT), Gwarinpa",Foreign Used,140995 km
Toyota Sienna 2011 Red,"₦ 15,105,562","Lagos State, Abule Egba",Foreign Used,238734 km
Toyota Yaris 2009 Gray,"₦ 10,500,000","Lagos State, Kosofe",Foreign Used,107766 km
Toyota Corolla 2004 Gray,"₦ 4,700,000","Lagos State, Ikeja",Local Used,299999 km
Toyota Sienna 2011 Gray,"₦ 11,235,000","Lagos State, Ogba",Foreign Used,538074 km
Lexus RX 350 2016 Gold,"₦ 47,840,000","Lagos State, Ikeja",Foreign Used,64258 km
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2015 White,"₦ 24,440,000","Abuja (FCT), Lugbe District",Foreign Used,135820 km
Toyota Camry 2010 Black,"₦ 11,500,000","Oyo State, Ibadan",Foreign Used,383502 km
Lexus IS 2006 Blue,"₦ 7,350,000","Enugu State, Enugu",Local Used,145210 km
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2013 Silver,"₦ 10,416,000","Lagos State, Lekki",Foreign Used,258682 km
Toyota Avensis 2.0 D Wagon 2003 Blue,"₦ 5,775,000","Ondo State, Akure",Local Used,427036 km
Toyota Corolla 2017 White,"₦ 18,200,000","Lagos State, Amuwo-Odofin",Foreign Used,135213 km
Toyota Venza 2013 Burgandy,"₦ 17,850,000","Lagos State, Isolo",Foreign Used,223436 km
Toyota Sienna 2008 Black,"₦ 13,520,000","Lagos State, Ikeja",Foreign Used,421928 km
Toyota Highlander 2008 Red,"₦ 14,175,000","Lagos State, Ikeja",Foreign Used,478562 km
Honda Accord 2006 Blue,"₦ 3,848,000","Abuja (FCT), Jabi",Local Used,351070 km
Volkswagen Jetta 2013 Gray,"₦ 9,030,000","Lagos State, Amuwo-Odofin",Foreign Used,305459 km
